Component Id,Product Id,Component Name,Active Flag
520,1,Category 2,1
521,2,Category 3,1
522,3,Category 4,1
523,4,Category 5,1
524,4,Category 6,1
525,3,Category 7,1
526,1,Category 1,1
527,1,Category 2,1
528,2,Category 3,1
529,3,Category 4,1
530,4,Category 5,1
531,4,Category 6,1
532,3,Category 7,1
533,1,Category 1,1
534,1,Category 2,1
535,2,Category 3,1
536,3,Category 4,1
537,4,Category 5,1
538,4,Category 6,1
539,3,Category 7,1
540,1,Category 1,1
541,1,Category 2,1
542,2,Category 3,1
543,3,Category 4,1
544,4,Category 5,1
545,4,Category 6,1
546,3,Category 7,1
547,1,Category 1,1
548,1,Category 2,1
549,2,Category 3,1
550,3,Category 4,1
551,4,Category 5,1
552,4,Category 6,1
553,3,Category 7,1
554,1,Category 1,1
555,1,Category 2,1
556,2,Category 3,1
557,3,Category 4,1
558,4,Category 5,1
559,4,Category 6,1
560,3,Category 7,1
561,1,Category 1,1
562,1,Category 2,1
563,2,Category 3,1
564,3,Category 4,1
565,4,Category 5,1
566,4,Category 6,1
567,3,Category 7,1
568,1,Category 1,1
569,1,Category 2,1
570,2,Category 3,1
571,3,Category 4,1
572,4,Category 5,1
573,4,Category 6,1
574,3,Category 7,1
575,1,Category 1,1
576,1,Category 2,1
577,2,Category 3,1
578,3,Category 4,1
579,4,Category 5,1
580,4,Category 6,1
581,3,Category 7,1
582,1,Category 1,1
583,1,Category 2,1
584,2,Category 3,1
585,3,Category 4,1
586,4,Category 5,1
587,4,Category 6,1
588,3,Category 7,1
589,1,Category 1,1
590,1,Category 2,1
591,2,Category 3,1
592,3,Category 4,1
593,4,Category 5,1
594,4,Category 6,1
595,3,Category 7,1
596,1,Category 1,1
597,1,Category 2,1
598,2,Category 3,1
599,3,Category 4,1
600,4,Category 5,1
601,4,Category 6,1
602,3,Category 7,1
603,1,Category 1,1
604,1,Category 2,1
605,2,Category 3,1
606,3,Category 4,1
607,4,Category 5,1
608,4,Category 6,1
609,3,Category 7,1
610,1,Category 1,1
611,1,Category 2,1
612,2,Category 3,1
613,3,Category 4,1
614,4,Category 5,1
615,4,Category 6,1
616,3,Category 7,1
617,1,Category 1,1
618,1,Category 2,1
619,2,Category 3,1
620,3,Category 4,1
621,4,Category 5,1
622,4,Category 6,1
623,3,Category 7,1
624,1,Category 1,1
625,1,Category 2,1
626,2,Category 3,1
627,3,Category 4,1
628,4,Category 5,1
629,4,Category 6,1
630,3,Category 7,1
631,1,Category 1,1
632,1,Category 2,1
633,2,Category 3,1
634,3,Category 4,1
635,4,Category 5,1
636,4,Category 6,1
637,3,Category 7,1
638,1,Category 1,1
639,1,Category 2,1
640,2,Category 3,1
641,3,Category 4,1
642,4,Category 5,1
643,4,Category 6,1
644,3,Category 7,1
645,1,Category 1,1
646,1,Category 2,1
647,2,Category 3,1
648,3,Category 4,1
649,4,Category 5,1
650,4,Category 6,1
651,3,Category 7,1
652,1,Category 1,1
653,1,Category 2,1
654,2,Category 3,1
655,3,Category 4,1
656,4,Category 5,1
657,4,Category 6,1
658,3,Category 7,1
659,1,Category 1,1
660,1,Category 2,1
661,2,Category 3,1
662,3,Category 4,1
663,4,Category 5,1
664,4,Category 6,1
665,3,Category 7,1
666,1,Category 1,1
667,1,Category 2,1
668,2,Category 3,1
669,3,Category 4,1
670,4,Category 5,1
671,4,Category 6,1
672,3,Category 7,1
673,1,Category 1,1
674,1,Category 2,1
675,2,Category 3,1
676,3,Category 4,1
677,4,Category 5,1
678,4,Category 6,1
679,3,Category 7,1
680,1,Category 1,1
681,1,Category 2,1
682,2,Category 3,1
683,3,Category 4,1
684,4,Category 5,1
685,4,Category 6,1
686,3,Category 7,1
687,1,Category 1,1
688,1,Category 2,1
689,2,Category 3,1
690,3,Category 4,1
691,4,Category 5,1
692,4,Category 6,1
693,3,Category 7,1
694,1,Category 1,1
695,1,Category 2,1
696,2,Category 3,1
697,3,Category 4,1
698,4,Category 5,1
699,4,Category 6,1
700,3,Category 7,1
701,1,Category 1,1
702,1,Category 2,1
703,2,Category 3,1
704,3,Category 4,1
705,4,Category 5,1
706,4,Category 6,1
707,3,Category 7,1
708,1,Category 1,1
709,1,Category 2,1
710,2,Category 3,1
711,3,Category 4,1
712,4,Category 5,1
713,4,Category 6,1
714,3,Category 7,1
715,1,Category 1,1
716,1,Category 2,1
717,2,Category 3,1
718,3,Category 4,1
719,4,Category 5,1
720,4,Category 6,1
721,3,Category 7,1
722,1,Category 1,1
723,1,Category 2,1
724,2,Category 3,1
725,3,Category 4,1
726,4,Category 5,1
727,4,Category 6,1
728,3,Category 7,1
729,1,Category 1,1
730,1,Category 2,1
731,2,Category 3,1
732,3,Category 4,1
733,4,Category 5,1
734,4,Category 6,1
735,3,Category 7,1
736,1,Category 1,1
737,1,Category 2,1
738,2,Category 3,1
739,3,Category 4,1
740,4,Category 5,1
741,4,Category 6,1
742,3,Category 7,1
743,1,Category 1,1
744,1,Category 2,1
745,2,Category 3,1
746,3,Category 4,1
747,4,Category 5,1
748,4,Category 6,1
749,3,Category 7,1
750,1,Category 1,1
751,1,Category 2,1
752,2,Category 3,1
753,3,Category 4,1
754,4,Category 5,1
755,4,Category 6,1
756,3,Category 7,1
757,1,Category 1,1
758,1,Category 2,1
759,2,Category 3,1
760,3,Category 4,1
761,4,Category 5,1
762,4,Category 6,1
763,3,Category 7,1
764,1,Category 1,1
765,1,Category 2,1
766,2,Category 3,1
767,3,Category 4,1
768,4,Category 5,1
769,4,Category 6,1
770,3,Category 7,1
771,1,Category 1,1
772,1,Category 2,1
773,2,Category 3,1
774,3,Category 4,1
775,4,Category 5,1
776,4,Category 6,1
777,3,Category 7,1
778,1,Category 1,1
779,1,Category 2,1
780,2,Category 3,1
781,3,Category 4,1
782,4,Category 5,1
783,4,Category 6,1
784,3,Category 7,1
785,1,Category 1,1
786,1,Category 2,1
787,2,Category 3,1
788,3,Category 4,1
789,4,Category 5,1
790,4,Category 6,1
791,3,Category 7,1
792,1,Category 1,1
793,1,Category 2,1
794,2,Category 3,1
795,3,Category 4,1
796,4,Category 5,1
797,4,Category 6,1
798,3,Category 7,1
799,1,Category 1,1
800,1,Category 2,1
801,2,Category 3,1
802,3,Category 4,1
803,4,Category 5,1
804,4,Category 6,1
805,3,Category 7,1
806,1,Category 1,1
807,1,Category 2,1
808,2,Category 3,1
809,3,Category 4,1
810,4,Category 5,1
811,4,Category 6,1
812,3,Category 7,1
813,1,Category 1,1
814,1,Category 2,1
815,2,Category 3,1
816,3,Category 4,1
817,4,Category 5,1
818,4,Category 6,1
819,3,Category 7,1
820,1,Category 1,1
821,1,Category 2,1
822,2,Category 3,1
823,3,Category 4,1
824,4,Category 5,1
825,4,Category 6,1
826,3,Category 7,1
827,1,Category 1,1
828,1,Category 2,1
829,2,Category 3,1
830,3,Category 4,1
831,4,Category 5,1
832,4,Category 6,1
833,3,Category 7,1
834,1,Category 1,1
835,1,Category 2,1
836,2,Category 3,1
837,3,Category 4,1
838,4,Category 5,1
839,4,Category 6,1
840,3,Category 7,1
841,1,Category 1,1
842,1,Category 2,1
843,2,Category 3,1
844,3,Category 4,1
845,4,Category 5,1
846,4,Category 6,1
847,3,Category 7,1
848,1,Category 1,1
849,1,Category 2,1
850,2,Category 3,1
851,3,Category 4,1
852,4,Category 5,1
853,4,Category 6,1
854,3,Category 7,1
855,1,Category 1,1
856,1,Category 2,1
857,2,Category 3,1
858,3,Category 4,1
859,4,Category 5,1
860,4,Category 6,1
861,3,Category 7,1
862,1,Category 1,1
863,1,Category 2,1
864,2,Category 3,1
865,3,Category 4,1
866,4,Category 5,1
867,4,Category 6,1
868,3,Category 7,1
869,1,Category 1,1
870,1,Category 2,1
871,2,Category 3,1
872,3,Category 4,1
873,4,Category 5,1
874,4,Category 6,1
875,3,Category 7,1
876,1,Category 1,1
877,1,Category 2,1
878,2,Category 3,1
879,3,Category 4,1
880,4,Category 5,1
881,4,Category 6,1
882,3,Category 7,1
883,1,Category 1,1
884,1,Category 2,1
885,2,Category 3,1
886,3,Category 4,1
887,4,Category 5,1
888,4,Category 6,1
889,3,Category 7,1
890,1,Category 1,1
891,1,Category 2,1
892,2,Category 3,1
893,3,Category 4,1
894,4,Category 5,1
895,4,Category 6,1
896,3,Category 7,1
897,1,Category 1,1
898,1,Category 2,1
899,2,Category 3,1
900,3,Category 4,1
901,4,Category 5,1
902,4,Category 6,1
903,3,Category 7,1
904,1,Category 1,1
905,1,Category 2,1
906,2,Category 3,1
907,3,Category 4,1
908,4,Category 5,1
909,4,Category 6,1
910,3,Category 7,1
911,1,Category 1,1
912,1,Category 2,1
913,2,Category 3,1
914,3,Category 4,1
915,4,Category 5,1
916,4,Category 6,1
917,3,Category 7,1
918,1,Category 1,1
919,1,Category 2,1
920,2,Category 3,1
921,3,Category 4,1
922,4,Category 5,1
923,4,Category 6,1
924,3,Category 7,1
925,1,Category 1,1
926,1,Category 2,1
927,2,Category 3,1
928,3,Category 4,1
929,4,Category 5,1
930,4,Category 6,1
931,3,Category 7,1
932,1,Category 1,1
933,1,Category 2,1
934,2,Category 3,1
935,3,Category 4,1
936,4,Category 5,1
937,4,Category 6,1
938,3,Category 7,1
939,1,Category 1,1
940,1,Category 2,1
941,2,Category 3,1
942,3,Category 4,1
943,4,Category 5,1
944,4,Category 6,1
945,3,Category 7,1
946,1,Category 1,1
947,1,Category 2,1
948,2,Category 3,1
949,3,Category 4,1
950,4,Category 5,1
951,4,Category 6,1
952,3,Category 7,1
953,1,Category 1,1
954,1,Category 2,1
955,2,Category 3,1
956,3,Category 4,1
957,4,Category 5,1
958,4,Category 6,1
959,3,Category 7,1
960,1,Category 1,1
961,1,Category 2,1
962,2,Category 3,1
963,3,Category 4,1
964,4,Category 5,1
965,4,Category 6,1
966,3,Category 7,1
967,1,Category 1,1
968,1,Category 2,1
969,2,Category 3,1
970,3,Category 4,1
971,4,Category 5,1
972,4,Category 6,1
973,3,Category 7,1
974,1,Category 1,1
975,1,Category 2,1
976,2,Category 3,1
977,3,Category 4,1
978,4,Category 5,1
979,4,Category 6,1
980,3,Category 7,1
981,1,Category 1,1
982,1,Category 2,1
983,2,Category 3,1
984,3,Category 4,1
985,4,Category 5,1
986,4,Category 6,1
987,3,Category 7,1
988,1,Category 1,1
989,1,Category 2,1
990,2,Category 3,1
991,3,Category 4,1
992,4,Category 5,1
993,4,Category 6,1
994,3,Category 7,1
995,1,Category 1,1
996,1,Category 2,1
997,2,Category 3,1
998,3,Category 4,1
999,4,Category 5,1
1000,4,Category 6,1
1001,3,Category 7,1
1002,1,Category 1,1
1003,1,Category 2,1
1004,2,Category 3,1
1005,3,Category 4,1
1006,4,Category 5,1
1007,4,Category 6,1
1008,3,Category 7,1
1009,1,Category 1,1
1010,1,Category 2,1
1011,2,Category 3,1
1012,3,Category 4,1
1013,4,Category 5,1
1014,4,Category 6,1
1015,3,Category 7,1
1016,1,Category 1,1
1017,1,Category 2,1
1018,2,Category 3,1
1019,3,Category 4,1
1020,4,Category 5,1
1021,4,Category 6,1
1022,3,Category 7,1
1023,1,Category 1,1
1024,1,Category 2,1
1025,2,Category 3,1
1026,3,Category 4,1
1027,4,Category 5,1
1028,4,Category 6,1
1029,3,Category 7,1
1030,1,Category 1,1
1031,1,Category 2,1
1032,2,Category 3,1
1033,3,Category 4,1
1034,4,Category 5,1
1035,4,Category 6,1
1036,3,Category 7,1
1037,1,Category 1,1
1038,1,Category 2,1
1039,2,Category 3,1
1040,3,Category 4,1
1041,4,Category 5,1
1042,4,Category 6,1
1043,3,Category 7,1
1044,1,Category 1,1
1045,1,Category 2,1
1046,2,Category 3,1
1047,3,Category 4,1
1048,4,Category 5,1
1049,4,Category 6,1
1050,3,Category 7,1
1051,1,Category 1,1
1052,1,Category 2,1
1053,2,Category 3,1
1054,3,Category 4,1
1055,4,Category 5,1
1056,4,Category 6,1
1057,3,Category 7,1
1058,1,Category 1,1
1059,1,Category 2,1
1060,2,Category 3,1
1061,3,Category 4,1
1062,4,Category 5,1
1063,4,Category 6,1
1064,3,Category 7,1
1065,1,Category 1,1
1066,1,Category 2,1
1067,2,Category 3,1
1068,3,Category 4,1
1069,4,Category 5,1
1070,4,Category 6,1
1071,3,Category 7,1
1072,1,Category 1,1
1073,1,Category 2,1
1074,2,Category 3,1
1075,3,Category 4,1
1076,4,Category 5,1
1077,4,Category 6,1
1078,3,Category 7,1
1079,1,Category 1,1
1080,1,Category 2,1
1081,2,Category 3,1
1082,3,Category 4,1
1083,4,Category 5,1
1084,4,Category 6,1
1085,3,Category 7,1
1086,1,Category 1,1
1087,1,Category 2,1
1088,2,Category 3,1
1089,3,Category 4,1
1090,4,Category 5,1
1091,4,Category 6,1
1092,3,Category 7,1
1093,1,Category 1,1
1094,1,Category 2,1
1095,2,Category 3,1
1096,3,Category 4,1
1097,4,Category 5,1
1098,4,Category 6,1
1099,3,Category 7,1
1100,1,Category 1,1
1101,1,Category 2,1
1102,2,Category 3,1
1103,3,Category 4,1
1104,4,Category 5,1
1105,4,Category 6,1
1106,3,Category 7,1
1107,1,Category 1,1
1108,1,Category 2,1
1109,2,Category 3,1
1110,3,Category 4,1
1111,4,Category 5,1
1112,4,Category 6,1
1113,3,Category 7,1
1114,1,Category 1,1
1115,1,Category 2,1
1116,2,Category 3,1
1117,3,Category 4,1
1118,4,Category 5,1
1119,4,Category 6,1
1120,3,Category 7,1
1121,1,Category 1,1
1122,1,Category 2,1
1123,2,Category 3,1
1124,3,Category 4,1
1125,4,Category 5,1
1126,4,Category 6,1
1127,3,Category 7,1
1128,1,Category 1,1
1129,1,Category 2,1
1130,2,Category 3,1
1131,3,Category 4,1
1132,4,Category 5,1
1133,4,Category 6,1
1134,3,Category 7,1
1135,1,Category 1,1
1136,1,Category 2,1
1137,2,Category 3,1
1138,3,Category 4,1
1139,4,Category 5,1
1140,4,Category 6,1
1141,3,Category 7,1
1142,1,Category 1,1
1143,1,Category 2,1
1144,2,Category 3,1
1145,3,Category 4,1
1146,4,Category 5,1
1147,4,Category 6,1
1148,3,Category 7,1
1149,1,Category 1,1
1150,1,Category 2,1
1151,2,Category 3,1
1152,3,Category 4,1
1153,4,Category 5,1
1154,4,Category 6,1
1155,3,Category 7,1
1156,1,Category 1,1
1157,1,Category 2,1
1158,2,Category 3,1
1159,3,Category 4,1
1160,4,Category 5,1
1161,4,Category 6,1
1162,3,Category 7,1
1163,1,Category 1,1
1164,1,Category 2,1
1165,2,Category 3,1
1166,3,Category 4,1
1167,4,Category 5,1
1168,4,Category 6,1
1169,3,Category 7,1
1170,1,Category 1,1
1171,1,Category 2,1
1172,2,Category 3,1
1173,3,Category 4,1
1174,4,Category 5,1
1175,4,Category 6,1
1176,3,Category 7,1
1177,1,Category 1,1
1178,1,Category 2,1
1179,2,Category 3,1
1180,3,Category 4,1
1181,4,Category 5,1
1182,4,Category 6,1
1183,3,Category 7,1
1184,1,Category 1,1
1185,1,Category 2,1
1186,2,Category 3,1
1187,3,Category 4,1
1188,4,Category 5,1
1189,4,Category 6,1
1190,3,Category 7,1
1191,1,Category 1,1
1192,1,Category 2,1
1193,2,Category 3,1
1194,3,Category 4,1
1195,4,Category 5,1
1196,4,Category 6,1
1197,3,Category 7,1
1198,1,Category 1,1
1199,1,Category 2,1
1200,2,Category 3,1
1201,3,Category 4,1
1202,4,Category 5,1
1203,4,Category 6,1
1204,3,Category 7,1
1205,1,Category 1,1
1206,1,Category 2,1
1207,2,Category 3,1
1208,3,Category 4,1
1209,4,Category 5,1
1210,4,Category 6,1
1211,3,Category 7,1
1212,1,Category 1,1
1213,1,Category 2,1
1214,2,Category 3,1
1215,3,Category 4,1
1216,4,Category 5,1
1217,4,Category 6,1
1218,3,Category 7,1
1219,1,Category 1,1
1220,1,Category 2,1
1221,2,Category 3,1
1222,3,Category 4,1
1223,4,Category 5,1
1224,4,Category 6,1
1225,3,Category 7,1
1226,1,Category 1,1
1227,1,Category 2,1
1228,2,Category 3,1
1229,3,Category 4,1
1230,4,Category 5,1
1231,4,Category 6,1
1232,3,Category 7,1
1233,1,Category 1,1
1234,1,Category 2,1
1235,2,Category 3,1
1236,3,Category 4,1
1237,4,Category 5,1
1238,4,Category 6,1
1239,3,Category 7,1
1240,1,Category 1,1
1241,1,Category 2,1
1242,2,Category 3,1
1243,3,Category 4,1
1244,4,Category 5,1
1245,4,Category 6,1
1246,3,Category 7,1
